               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059249,            0.019219,                   0,             0.82504,              0.8906,              0.9259,             0.69629,             0.59064,            0.032494,           0.0072532,                   0,            0.070102,            0.003322,            0.003322
                   1,            0.038129,            0.013183,                   0,             0.93876,             0.93538,             0.96642,             0.80579,             0.65845,            0.026755,           0.0064496,                   0,            0.040037,           0.0065894,           0.0065894
                   2,            0.034228,             0.01213,                   0,             0.93593,             0.93608,             0.96084,             0.70871,             0.61305,            0.028704,           0.0067441,                   0,           0.0099046,           0.0097908,           0.0097908
                   3,            0.031961,            0.012003,                   0,             0.90386,               0.906,             0.95111,             0.75072,             0.63364,            0.026274,           0.0067205,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.028469,            0.011128,                   0,             0.95585,             0.95417,              0.9742,              0.8162,             0.69625,            0.023592,           0.0061262,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.027674,            0.010841,                   0,             0.94378,             0.94237,             0.97296,             0.79875,             0.68459,            0.023741,           0.0062023,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.026762,            0.010981,                   0,             0.96006,             0.96223,             0.98037,             0.86033,             0.72479,            0.021368,           0.0057729,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026064,            0.010534,                   0,             0.96434,             0.95599,             0.98158,             0.87695,             0.73843,            0.021004,           0.0056113,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025706,            0.010508,                   0,             0.95933,             0.94814,             0.97805,             0.87534,             0.73652,            0.020906,           0.0055781,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025544,            0.010548,                   0,             0.96469,             0.96588,             0.98251,             0.88091,             0.74389,            0.020398,           0.0054798,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025011,            0.010176,                   0,             0.97194,             0.96852,             0.98296,             0.88599,             0.75017,            0.019802,           0.0054366,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024447,            0.010175,                   0,             0.95863,             0.96499,             0.98205,             0.87018,             0.73848,            0.020596,           0.0054956,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024228,            0.010229,                   0,              0.9671,             0.96077,             0.98236,             0.87962,             0.75067,            0.019731,           0.0054306,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024542,            0.010368,                   0,             0.96616,             0.95932,             0.98341,             0.88401,             0.75064,            0.019892,           0.0054799,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.024059,            0.010393,                   0,             0.96134,             0.96347,              0.9808,             0.88993,             0.75289,            0.019515,           0.0054823,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.024352,            0.010067,                   0,             0.97178,             0.96709,              0.9828,             0.88954,             0.75875,            0.019441,           0.0054379,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.023839,            0.009888,                   0,             0.96663,             0.96755,             0.98327,             0.88807,             0.75824,            0.019123,            0.005376,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023285,           0.0099372,                   0,             0.97281,             0.96368,              0.9845,             0.90075,             0.76919,            0.019006,           0.0052912,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.023812,            0.010075,                   0,             0.96675,             0.97191,             0.98389,             0.89449,             0.76687,            0.018799,           0.0052796,                   0,            0.008317,            0.008317,            0.008317
